哎,āi,"hey!; (interjection used to attract attention or to express surprise or disapprobation);",哎,aai1,aai1,āai,5
唉,āi,"(interjection to express agreement or recognition); to sigh",唉,aai1,aai1,āai,5
爱护,ài hù,"to take care of; to treasure; to cherish; to love and protect",愛護,oi3 wu6,oi3 wu6,oi wuh,5
爱惜,ài xī,"to cherish; to treasure; to use sparingly",愛惜,oi3 sik1,oi3 sik1,oi sīk,5
爱心,ài xīn,"compassion; CL:片[pian4]",愛心,oi3 sam1,oi3 sam1,oi sām,5
安慰,ān wèi,"to comfort; to console; CL:个",安慰,on1 wai3,on1 wai3,ōn wai,5
安装,ān zhuāng,"to install; to erect; to fix; to mount; installation",安裝,on1 jong1,on1 zong1,ōn jōng,5
岸,àn,"shore; bank; beach; coast; CL:個|个[ge4]",岸,ngon6,ngon6,ngohn,5
暗,àn,"dark; gloomy; hidden; secret; muddled; obscure; in the dark",暗,am3,am3,am,5
熬夜,áo yè,"to stay up late or all night;",熬夜,ngou4 ye2/ye6,ngou4 je2/je6,ngòuh yé/yeh,5
把握,bǎ wò,"to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)",把握,ba2 ak1,baa2 ak1,bá āk,5
摆,bǎi,"to arrange; to exhibit; to move to and fro; a pendulum",擺,baai2,baai2,báai,5
办理,bàn lǐ,"to handle; to transact; to conduct",辦理,baan6 lei5,baan6 lei5,baahn léih,5
傍晚,bàng wǎn,"in the evening; when night falls; towards evening; at night fall; at dusk",傍晚,pong4 maan5,pong4 maan5,pòhng máahn,5
包裹,bāo guǒ,"wrap up; bind up; bundle; parcel; package; CL:个",包裹,baau1 gwo2,baau1 gwo2,bāau gwó,5
包含,bāo hán,"to contain; to embody; to include",包含,baau1 ham4,baau1 ham4,bāau hàhm,5
包括,bāo kuò,"to comprise; to include; to involve; to incorporate; to consist of",包括,baau1 kut3,baau1 kut3,bāau kut,5
薄,báo,"thin; cold in manner; indifferent; weak; light; infertile",薄,bok6,bok6,bohk,5
保持,bǎo chí,"to keep; to maintain; to hold; to preserve",保持,bou2 chi4,bou2 ci4,bóu chìh,5
保存,bǎo cún,"to conserve; to preserve; to keep; to save (a file etc) (computing)",保存,bou2 chyun4,bou2 cyun4,bóu chyùhn,5
保留,bǎo liú,"to preserve; to maintain; to retain; to continue to have; to reserve; reservations; to hold back (approval or acceptance)",保留,bou2 lau4,bou2 lau4,bóu làuh,5
保险,bǎo xiǎn,"insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]",保險,bou2 him2,bou2 him2,bóu hím,5
宝贝,bǎo bèi,"treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character",寶貝,bou2 bui3,bou2 bui3,bóu bui,5
宝贵,bǎo guì,"valuable; precious; value; treasure; set store by",寶貴,bou2 gwai3,bou2 gwai3,bóu gwai,5
报到,bào dào,"to check in; to report for duty; to register",報到,bou3 dou3,bou3 dou3,bou dou,5
报道,bào dào,"report; to report (new); CL:篇[pian1] ,份[fen4]",報道,bou3 dou6,bou3 dou6,bou douh,5
报告,bào gào,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1] ,份[fen4] ,个,通[tong4]",報告,bou3 gou3,bou3 gou3,bou gou,5
报社,bào shè,"general office of a newspaper; newspaper office; CL:家[jia1]",報社,bou3 se5,bou3 se5,bou séh,5
