挨,ái,"to suffer from; to endure; to tide over (a difficult period); to delay",挨,aai1,aai1,āai,6
癌症,ái zhèng,"cancer",癌症,ngaam4 jing1,ngaam4 zing1,ngàahm jīng,6
暧昧,ài mèi,"vague; ambiguous; equivocal; dubious",暧昧,oi2 mui6,oi2 mui6,ói muih,6
爱不释手,ài bù shì shǒu,"to love sth too much to part with it (idiom); to fondle admiringly",愛不釋手,oi3 bat1 sik1 sau2,oi3 bat1 sik1 sau2,oi bāt sīk sáu,6
爱戴,ài dài,"to love and respect; love and respect",愛戴,oi3 daai3,oi3 daai3,oi daai,6
安宁,ān níng,"peaceful; tranquil; calm; composed",安甯,on1 ning4,on1 ning4,ōn nìhng,6
安详,ān xiáng,"serene",安詳,on1 cheung4,on1 coeng4,ōn chèuhng,6
安置,ān zhì,"find a place for; help settle down; arrange for; to get into bed; placement",安置,on1 ji3,on1 zi3,ōn ji,6
按摩,àn mó,"massage",按摩,on3 mo1,on3 mo1,on mō,6
暗示,àn shì,"to hint; to suggest; suggestion; a hint",暗示,am3 si6,am3 si6,am sih,6
案件,àn jiàn,"law case; legal case; judicial case; CL:宗[zong1] ,桩[zhuang1] ,起[qi3]",案件,on3 gin6,on3 gin6,on gihn,6
案例,àn lì,"case (law); CL:个",案例,on3 lai6,on3 lai6,on laih,6
昂贵,áng guì,"expensive; costly",昂貴,ngong4 gwai3,ngong4 gwai3,ngòhng gwai,6
凹凸,āo tū,"bumpy; uneven; slotted and tabbed joint; crenelation",凹凸,nap1 dat6,nap1 dat6,nāp daht,6
熬,áo,"(of cooking) to boil for a long time; to endure; to suffer",熬,ngaau4/ngou4,ngaau4/ngou4,ngàauh/ngòuh,6
奥秘,ào mì,"profound mystery",奧秘,ou3 bei3,ou3 bei3,ou bei,6
巴不得,bā bù dé,"to be eager for; to long for; to look forward to",巴不得,ba1 bat1 dak1,baa1 bat1 dak1,bā bāt dāk,6
巴结,bā jie,"to fawn on; to curry favor with; to make up to",巴結,ba1 git3,baa1 git3,bā git,6
扒,bā,"to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off",扒,pa4,paa4,pàh,6
疤,bā,"scar",疤,ba1,baa1,bā,6
拔苗助长,bá miáo zhù zhǎng,"to spoil things through excessive enthusiasm (idiom)",拔苗助長,bat6 miu4 jo6 cheung4/jeung2,bat6 miu4 zo6 coeng4/zoeng2,baht mìuh joh chèuhng/jéung,6
把关,bǎ guān,"to guard a pass; to check on sth",把關,ba2 gwaan1,baa2 gwaan1,bá gwāan,6
把手,bǎ shǒu,"handle; grip; knob",把手,ba2 sau2,baa2 sau2,bá sáu,6
罢工,bà gōng,"a strike; to go on strike",罷工,ba6 gung1,baa6 gung1,bah gūng,6
霸道,bà dào,"overbearing; tyranny; (of liquor, medicine etc) strong; potent; the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道;",霸道,ba3 dou6,baa3 dou6,ba douh,6
掰,bāi,"to break with both hands",掰,maak3,maak3,maak,6
摆脱,bǎi tuō,"to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself",擺脫,baai2 tyut3,baai2 tyut3,báai tyut,6
拜访,bài fǎng,"pay a visit; call on",拜訪,baai3 fong2,baai3 fong2,baai fóng,6
拜年,bài nián,"pay a New Year call; wish sb a Happy New Year",拜年,baai3 nin4,baai3 nin4,baai nìhn,6
拜托,bài tuō,"request sb to do sth; please!",拜托,baai3 tok3,baai3 tok3,baai tok,6
败坏,bài huài,"to ruin; to corrupt; to undermine",敗壞,baai6 waai6,baai6 waai6,baaih waaih,6
斑,bān,"spot; colored patch; stripe; spotted; striped; variegated;",斑,baan1,baan1,bāan,6
颁布,bān bù,"to issue; to proclaim; to enact (laws, decrees etc)",頒布,baan1 bou3,baan1 bou3,bāan bou,6
颁发,bān fā,"to issue; to promulgate; to award",頒發,baan1 faat3,baan1 faat3,bāan faat,6
版本,bǎn běn,"version; edition; release",版本,baan2 bun2,baan2 bun2,báan bún,6
伴侣,bàn lǚ,"partner; companion; mate",伴侶,bun6 leui5,bun6 leoi5,buhn léuih,6
伴随,bàn suí,"to accompany; to follow; to occur together with; attendant",伴隨,bun6 cheui4,bun6 ceoi4,buhn chèuih,6
半途而废,bàn tú ér fèi,"to give up halfway (idiom); leave sth unfinished",半途而廢,bun3 tou4 yi4 fai3,bun3 tou4 ji4 fai3,bun tòuh yìh fai,6
扮演,bàn yǎn,"play the part of; act",扮演,baan6 yin2,baan6 jin2,baahn yín,6
榜样,bǎng yàng,"example; model; CL:个",榜樣,bong2 yeung6,bong2 joeng6,bóng yeuhng,6
绑架,bǎng jià,"to kidnap; to abduct; to hijack; a kidnapping; abduction; staking",綁架,bong2 ga3,bong2 gaa3,bóng ga,6
磅,bàng,"pound (unit of weight, about 454 grams); platform balance;",磅,bong6,bong6,bohng,6
包庇,bāo bì,"to shield; to harbor; to cover up",包庇,baau1 bei3,baau1 bei3,bāau bei,6
包袱,bāo fu,"cloth-wrapper; a bundle wrapped in cloth; load; weight; burden",包袱,baau1 fuk6,baau1 fuk6,bāau fuhk,6
包围,bāo wéi,"to surround; to encircle; to hem in",包圍,baau1 wai4,baau1 wai4,bāau wàih,6
包装,bāo zhuāng,"package; pack",包裝,baau1 jong1,baau1 zong1,bāau jōng,6
保管,bǎo guǎn,"to assure; to guarantee; to take care of; to safeguard; certainly; surely",保管,bou2 gun2,bou2 gun2,bóu gún,6
保密,bǎo mì,"to keep sth confidential; to maintain secrecy",保密,bou2 mat6,bou2 mat6,bóu maht,6
保姆,bǎo mǔ,"nanny; housekeeper",保姆,bou2 mou5,bou2 mou5,bóu móuh,6
保守,bǎo shǒu,"(politically) conservative; to guard; to keep",保守,bou2 sau2,bou2 sau2,bóu sáu,6
保卫,bǎo wèi,"to defend; to safeguard",保衛,bou2 wai6,bou2 wai6,bóu waih,6
保养,bǎo yǎng,"to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance",保養,bou2 yeung5,bou2 joeng5,bóu yéuhng,6
保障,bǎo zhàng,"to ensure; to guarantee; to safeguard",保障,bou2 jeung3,bou2 zoeng3,bóu jeung,6
保重,bǎo zhòng,"to take care of oneself",保重,bou2 jung6,bou2 zung6,bóu juhng,6
饱和,bǎo hé,"saturation",飽和,baau2 wo4,baau2 wo4,báau wòh,6
饱经沧桑,bǎo jīng cāng sāng,"having lived through many changes",飽經滄桑,baau2 ging1 chong1 song1,baau2 ging1 cong1 song1,báau gīng chōng sōng,6
报酬,bào chou,"remuneration; reward",報酬,bou3 chau4,bou3 cau4,bou chàuh,6
报仇,bào chóu,"to revenge (oneself); to avenge",報仇,bou3 sau4,bou3 sau4,bou sàuh,6
报答,bào dá,"to repay; to requite",報答,bou3 daap3,bou3 daap3,bou daap,6
报复,bào fù,"to make reprisals; to retaliate; revenge; retaliation",報複,bou3 fuk6,bou3 fuk6,bou fuhk,6
报警,bào jǐng,"to report sth to the police; to sound an alarm",報警,bou3 ging2,bou3 ging2,bou gíng,6
报销,bào xiāo,"submit an expense account; apply for reimbursement; write-off; wipe out",報銷,bou3 siu1,bou3 siu1,bou sīu,6
抱负,bào fù,"aspiration; ambition",抱負,pou5 fu6,pou5 fu6,póuh fuh,6
暴力,bào lì,"violence; (use) force; violent",暴力,bou6 lik6,bou6 lik6,bouh lihk,6
暴露,bào lù,"to expose; to reveal; to lay bare",暴露,bou6 lou6,bou6 lou6,bouh louh,6
曝光,bào guāng,"exposure (e.g. of photosensitive material); to expose (a scandal to the public)",曝光,bou6 gwong1,bou6 gwong1,bouh gwōng,6
爆发,bào fā,"to break out; to erupt; to explode; to burst out",爆發,baau3 faat3,baau3 faat3,baau faat,6
爆炸,bào zhà,"explosion; to explode; to blow up; to detonate",爆炸,baau3 ja3,baau3 zaa3,baau ja,6
卑鄙,bēi bǐ,"contemptible; despicable; base; mean",卑鄙,bei1 pei2,bei1 pei2,bēi péi,6
悲哀,bēi āi,"grieved; sorrowful",悲哀,bei1 oi1,bei1 oi1,bēi ōi,6
悲惨,bēi cǎn,"miserable; tragic",悲慘,bei1 chaam2,bei1 caam2,bēi cháam,6
北极,běi jí,"the North Pole; the Arctic Pole; the north magnetic pole",北極,bak1 gik6,bak1 gik6,bāk gihk,6
备份,bèi fèn,"backup",備份,bei6 fan6,bei6 fan6,beih fahn,6
备忘录,bèi wàng lù,"memorandum; aide-memoire; memorandum book",備忘錄,bei6 mong4 luk6,bei6 mong4 luk6,beih mòhng luhk,6
背叛,bèi pàn,"to betray",背叛,bui3 bun6,bui3 bun6,bui buhn,6
背诵,bèi sòng,"recite; repeat from memory",背誦,bui3 jung6,bui3 zung6,bui juhng,6
